obs_id,recorded_time,sidereal,utc_time,name,lat,long,cmd,outlier,type,x,y,rising,l0,b0,p,incl,incl_obs,incl_diff,err,r_sun,modified,complemented
0,1788-06-04 07:29:45,FALSE,1788-06-04 07:08:57.411492,A,-23.47,130.83,55.87,FALSE,ec,,,,74.95,0.15,-13.98,50.54,,,,,FALSE,FALSE
0,1788-06-04 07:32:37,FALSE,1788-06-04 07:11:49.411492,B,-27.34,121.84,46.91,FALSE,ec,,,,74.93,0.15,-13.98,50.55,,,,,FALSE,FALSE
0,1788-06-04 07:33:12,FALSE,1788-06-04 07:12:24.411492,C,-28.43,120.24,45.32,FALSE,ec,,,,74.92,0.15,-13.98,50.55,,,,,FALSE,FALSE
0,1788-06-04 08:28:29,FALSE,1788-06-04 08:07:41.411492,D,-15.84,9.81,-64.6,FALSE,ec,,,,74.41,0.15,-13.97,49.71,,,,,FALSE,FALSE
1,1795-02-12 11:41:29.000000,FALSE,1795-02-12 11:37:21.554501,t,11.34,226.1,11.09,FALSE,ob,0.27,0.24,TRUE,215.02,-6.84,-16.9,-3.88,,0.47,-1.7,66.47,FALSE,FALSE
2,1795-03-03 12:28:00.000000,FALSE,1795-03-03 12:21:27.832571,t,-7.52,293.08,-31.28,FALSE,ob,-0.48,0.18,FALSE,324.36,-7.25,-22.52,6.38,,0.57,1.06,65.49,FALSE,FALSE
3,1795-03-03 12:32:03.000000,FALSE,1795-03-03 12:25:30.832571,t,-7.79,293.44,-30.88,FALSE,ob,-0.48,0.17,FALSE,324.33,-7.25,-22.52,7.28,,0.56,1.06,64.99,FALSE,FALSE
4,1795-03-03 12:35:58.500000,FALSE,1795-03-03 12:29:26.332571,t,-7.16,294.22,-30.07,FALSE,ob,-0.47,0.18,FALSE,324.29,-7.25,-22.52,8.16,,0.63,-1.12,64.99,TRUE,FALSE
5,1795-03-03 12:40:47.000000,FALSE,1795-03-03 12:34:14.832571,t,-7.55,293.07,-31.17,FALSE,ob,-0.48,0.18,FALSE,324.25,-7.25,-22.52,9.23,,0.62,-1.87,64.97,TRUE,FALSE
9,1795-03-04 12:44:33.000000,FALSE,1795-03-04 12:37:47.375873,t_petite,2.73,279.16,-31.87,FALSE,ob,-0.43,0.35,FALSE,311.04,-7.25,-22.75,10.11,,0.52,-0.67,65,FALSE,FALSE
9,1795-03-04 12:44:33.000000,FALSE,1795-03-04 12:37:47.375873,t_grande,-7.36,293.61,-17.43,FALSE,ob,-0.28,0.11,FALSE,311.04,-7.25,-22.75,10.11,,0.52,0,65,FALSE,FALSE
10,1795-03-04 12:49:21.000000,FALSE,1795-03-04 12:42:35.375873,t_grande,-8.2,293.79,-17.2,FALSE,ob,-0.28,0.09,FALSE,310.99,-7.25,-22.76,11.16,,0.52,0.97,64.99,FALSE,FALSE
10,1795-03-04 12:49:21.000000,FALSE,1795-03-04 12:42:35.375873,t_petite,0.89,279.48,-31.51,FALSE,ob,-0.43,0.32,FALSE,310.99,-7.25,-22.76,11.16,,0.52,0.64,65,FALSE,FALSE
11,1795-03-04 12:55:34.000000,FALSE,1795-03-04 12:48:48.375873,t_grande,-6.41,293.69,-17.25,FALSE,ob,-0.27,0.12,FALSE,310.94,-7.25,-22.76,12.5,,0.5,0.5,65.5,FALSE,FALSE
11,1795-03-04 12:55:34.000000,FALSE,1795-03-04 12:48:48.375873,t_petite,2.22,279.53,-31.41,FALSE,ob,-0.42,0.34,FALSE,310.94,-7.25,-22.76,12.5,,0.5,0.66,65.5,FALSE,FALSE
6,1795-03-04 01:01:58.500000,FALSE,1795-03-04 12:55:12.875873,t_grande,-7.65,294.32,-16.55,FALSE,ob,-0.27,0.1,FALSE,310.88,-7.25,-22.76,13.87,,0.53,-2,64.96,TRUE,FALSE
7,1795-03-04 01:06:12.000000,FALSE,1795-03-04 12:59:26.375873,t_grande,-8.31,293.61,-17.23,FALSE,ob,-0.28,0.09,FALSE,310.84,-7.25,-22.76,14.76,,0.53,-1.61,64.97,TRUE,FALSE
12,1795-03-05 12:26:51.000000,FALSE,1795-03-05 12:19:51.466427,t,-6.56,293.9,-4.12,FALSE,ob,-0.06,0.04,FALSE,298.02,-7.24,-22.98,6.18,,0.5,-0.46,65,FALSE,FALSE
13,1795-03-05 12:30:34.000000,FALSE,1795-03-05 12:23:34.466427,t,-7.21,294.6,-3.39,FALSE,ob,-0.05,0.02,FALSE,297.99,-7.24,-22.98,7.03,,0.51,0.9,65.49,FALSE,FALSE
14,1795-03-05 12:35:06.000000,FALSE,1795-03-05 12:28:06.466427,t,-6.97,293.95,-4,FALSE,ob,-0.06,0.03,FALSE,297.95,-7.24,-22.98,8.05,,0.5,0.91,64.99,FALSE,FALSE
15,1795-03-05 12:39:38.000000,FALSE,1795-03-05 12:32:38.466427,t,-7.91,295.28,-2.62,FALSE,ob,-0.05,0.01,FALSE,297.91,-7.24,-22.98,9.07,,0.49,-1.31,64.98,FALSE,FALSE
16,1795-03-05 12:43:44.000000,FALSE,1795-03-05 12:36:44.466427,t,-9.11,293.83,-4.04,FALSE,ob,-0.08,0,FALSE,297.87,-7.24,-22.98,9.98,,0.49,-2.64,64.93,FALSE,FALSE
17,1795-03-07 12:49:39.000000,FALSE,1795-03-07 12:42:10.379560,t,-8.09,295.43,23.96,FALSE,ob,0.36,-0.18,FALSE,271.47,-7.23,-23.41,11.41,,0.6,1.49,64.98,TRUE,FALSE
20,1796-07-05 09:19:14.000000,FALSE,1796-07-05 09:04:41.714171,t_B,6.14,290.03,-46.67,FALSE,hv,-0.72,0.07,TRUE,336.69,3.7,-0.27,-46.58,,0.32,,71.18,TRUE,TRUE
21,1796-07-05 09:24:11.000000,FALSE,1796-07-05 09:09:38.714171,t_A,-5.69,29.29,52.64,FALSE,hv,0.79,-0.14,TRUE,336.65,3.7,-0.27,-46.08,-46.33,0.41,,68.71,FALSE,FALSE
21,1796-07-05 09:24:11.000000,FALSE,1796-07-05 09:09:38.714171,t_B,6.51,285.68,-50.97,FALSE,hv,-0.77,0.08,TRUE,336.65,3.7,-0.27,-46.08,-46.33,0.41,,68.71,FALSE,FALSE
22,1796-07-05 09:30:23.000000,FALSE,1796-07-05 09:15:50.714171,t_B,5.63,284.89,-51.7,FALSE,hv,-0.78,0.06,TRUE,336.59,3.7,-0.27,-45.4,-45.44,0.46,,68.76,TRUE,FALSE
22,1796-07-05 09:30:23.000000,FALSE,1796-07-05 09:15:50.714171,t_A,-6.14,29.65,53.06,FALSE,hv,0.79,-0.15,TRUE,336.59,3.7,-0.27,-45.4,-45.44,0.46,,68.76,TRUE,FALSE
26,1796-07-07 09:01:09.000000,FALSE,1796-07-07 08:46:56.448878,t_B,5.88,285.63,-24.76,FALSE,hv,-0.42,0.04,TRUE,310.39,3.91,0.64,-47.93,-46.46,0.3,,69.23,FALSE,FALSE
27,1796-07-07 09:08:06.000000,FALSE,1796-07-07 08:53:53.448878,t_B,8.12,283.19,-27.14,FALSE,hv,-0.45,0.08,TRUE,310.32,3.91,0.64,-47.39,-48.66,0.35,,68.7,FALSE,FALSE
23,1796-07-07 06:35:55.300000,FALSE,1796-07-07 18:21:42.748878,t_B,5.44,284.38,-20.73,FALSE,hv,-0.35,0.03,FALSE,305.11,3.95,0.82,45.6,45.15,0.25,,68.77,TRUE,FALSE
24,1796-07-07 06:42:12.000000,FALSE,1796-07-07 18:27:59.448878,t_B,5.45,285.21,-19.84,FALSE,hv,-0.34,0.03,FALSE,305.05,3.95,0.82,45.16,45.15,0.27,,68.77,FALSE,FALSE
25,1796-07-07 06:48:43.000000,FALSE,1796-07-07 18:34:30.448878,t_B,5.24,285.95,-19.04,FALSE,hv,-0.33,0.02,FALSE,304.99,3.95,0.82,44.69,45.58,0.33,,69.29,FALSE,FALSE
28,1796-07-08 06:00:07.000000,FALSE,1796-07-08 05:46:03.728507,t_B,6.18,289.02,-9.8,FALSE,hv,-0.17,0.04,TRUE,298.82,4,1.04,-47.77,-49.69,0.27,,68.25,FALSE,FALSE
29,1796-07-08 06:05:57.000000,FALSE,1796-07-08 05:51:53.728507,t_B,5.36,285.07,-13.69,FALSE,hv,-0.24,0.02,TRUE,298.76,4,1.04,-48.07,-50.51,0.18,,68.68,FALSE,FALSE
30,1796-07-08 06:12:18.000000,FALSE,1796-07-08 05:58:14.728507,t_B,5.35,285.09,-13.61,FALSE,hv,-0.23,0.02,TRUE,298.7,4,1.04,-48.37,-50.19,0.18,,69.14,FALSE,FALSE
31,1796-07-08 06:17:41.000000,FALSE,1796-07-08 06:03:37.728507,t_B,5.77,285.05,-13.61,FALSE,hv,-0.23,0.03,TRUE,298.66,4,1.04,-48.62,-50.22,0.18,,68.78,FALSE,FALSE
32,1796-07-08 06:33:37.000000,FALSE,1796-07-08 18:19:33.728507,t_B,6.04,285.78,-6.11,FALSE,hv,-0.11,0.03,FALSE,291.89,4.05,1.28,45.75,46.03,0.24,,68.73,TRUE,FALSE
33,1796-07-08 06:38:14.000000,FALSE,1796-07-08 18:24:10.728507,t_B,6.65,285.96,-5.89,FALSE,hv,-0.1,0.04,FALSE,291.85,4.05,1.28,45.43,45.88,0.24,,68.92,FALSE,FALSE
