obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
0,1788-06-04 7:26:36,,S,start,TRUE,FALSE,
0,1788-06-04 7:31:40,,A,c1,TRUE,FALSE,
0,1788-06-04 7:34:32,,B,c1,TRUE,FALSE,
0,1788-06-04 7:35:07,,C,c1,TRUE,FALSE,
0,1788-06-04 8:30:24,,D,c1,TRUE,FALSE,
0,1788-06-04 8:31:32,,A,c2,TRUE,FALSE,
0,1788-06-04 8:36:12,,B,c2,TRUE,FALSE,
0,1788-06-04 8:37:15,,C,c2,TRUE,FALSE,
0,1788-06-04 9:17:32,,D,c2,TRUE,FALSE,
0,1788-06-04 9:25:43,,S,end,TRUE,FALSE,
1000,1816-11-19 8:27:12,,S,start,TRUE,FALSE,
1000,1816-11-19 9:21:27,,t,c1,TRUE,FALSE,
1000,1816-11-19 10:30:34,,t,c2,TRUE,FALSE,
1000,1816-11-19 10:46:28,,S,end,TRUE,FALSE,
