obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
20,1796-07-05 09:19:28.000,1796-07-05 09:19:14.000,S,h,TRUE,FALSE,
20,1796-07-05 09:19:14.000,1796-07-05 09:19:28.000,S,v,TRUE,FALSE,
20,1796-07-05 09:20:39.000,1796-07-05 09:21:39.000,t_B,h,TRUE,FALSE,
20,1796-07-05 09:21:08.000,1796-07-05 09:22:08.000,t_B,v,TRUE,FALSE,
20,1796-07-05 09:22:50.000,1796-07-05 09:22:30.000,S,h,TRUE,FALSE,
22,1796-07-05 09:30:23.000,,S,v,TRUE,FALSE,
22,1796-07-05 09:31:03.000,1796-07-05 09:30:56.500,t_A,v,TRUE,FALSE,
22,1796-07-05 09:30:56.500,1796-07-05 09:31:03.000,S,h,TRUE,FALSE,
22,1796-07-05 09:31:55.000,,t_A,h,TRUE,FALSE,
22,1796-07-05 09:32:59.000,,t_B,v,TRUE,FALSE,
22,1796-07-05 09:33:29.000,,t_B,h,TRUE,FALSE,
22,1796-07-05 09:34:16.000,1796-07-05 09:33:39.000,S,v,TRUE,FALSE,
22,1796-07-05 09:33:39.000,1796-07-05 09:34:16.000,S,h,TRUE,FALSE,
21,1796-07-05 09:24:11.000,,S,h,TRUE,FALSE,
21,1796-07-05 09:24:43.000,,S,v,TRUE,FALSE,
21,1796-07-05 09:25:01.000,,t_A,h,TRUE,FALSE,
21,1796-07-05 09:25:18.000,,t_A,v,TRUE,FALSE,
21,1796-07-05 09:26:34.000,,t_B,h,TRUE,FALSE,
21,1796-07-05 09:27:21.000,,t_B,v,TRUE,FALSE,
21,1796-07-05 09:27:21.000,,S,h,TRUE,FALSE,
21,1796-07-05 09:28:02.000,,S,v,TRUE,FALSE,
26,1796-07-07 09:01:09.000,,S,v,TRUE,FALSE,
26,1796-07-07 09:02:00.000,,S,h,TRUE,FALSE,
26,1796-07-07 09:03:21.500,,t_B,v,TRUE,FALSE,
26,1796-07-07 09:04:02.500,,t_B,h,TRUE,FALSE,
26,1796-07-07 09:04:30.000,,S,v,TRUE,FALSE,
26,1796-07-07 09:05:11.000,,S,h,TRUE,FALSE,
27,1796-07-07 09:08:06.000,,S,v,TRUE,FALSE,
27,1796-07-07 09:09:13.500,,S,h,TRUE,FALSE,
27,1796-07-07 09:10:27.500,,t_B,v,TRUE,FALSE,
27,1796-07-07 09:11:12.000,,t_B,h,TRUE,FALSE,
27,1796-07-07 09:11:34.000,,S,v,TRUE,FALSE,
27,1796-07-07 09:12:16.500,,S,h,TRUE,FALSE,
23,1796-07-07 06:35:35.300,1796-07-07 06:35:55.300,S,v,FALSE,FALSE,
23,1796-07-07 06:36:18.500,,S,h,FALSE,FALSE,
23,1796-07-07 06:37:56.000,,t_B,v,FALSE,FALSE,
23,1796-07-07 06:38:21.500,,t_B,h,FALSE,FALSE,
23,1796-07-07 06:39:11.000,,S,v,FALSE,FALSE,
23,1796-07-07 06:39:33.000,,S,h,FALSE,FALSE,
24,1796-07-07 06:42:12.000,,S,h,FALSE,FALSE,
24,1796-07-07 06:42:44.000,,S,v,FALSE,FALSE,
24,1796-07-07 06:44:14.500,,t_B,h,FALSE,FALSE,
24,1796-07-07 06:44:43.000,,t_B,v,FALSE,FALSE,
24,1796-07-07 06:45:26.000,,S,h,FALSE,FALSE,
24,1796-07-07 06:45:59.000,,S,v,FALSE,FALSE,
25,1796-07-07 06:48:43.000,,S,h,FALSE,FALSE,
25,1796-07-07 06:49:48.000,,S,v,FALSE,FALSE,
25,1796-07-07 06:50:44.000,,t_B,h,FALSE,FALSE,
25,1796-07-07 06:51:48.000,,t_B,v,FALSE,FALSE,
25,1796-07-07 06:51:57.000,,S,h,FALSE,FALSE,
25,1796-07-07 06:53:06.000,,S,v,FALSE,FALSE,
28,1796-07-08 06:00:07.000,,S,h,TRUE,FALSE,
28,1796-07-08 06:01:46.000,,t_B,h,TRUE,FALSE,
28,1796-07-08 06:01:51.000,,S,v,TRUE,FALSE,
28,1796-07-08 06:03:06.000,,S,h,TRUE,FALSE,
28,1796-07-08 06:03:51.000,,t_B,v,TRUE,FALSE,
28,1796-07-08 06:05:22.000,,S,v,TRUE,FALSE,
