obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
1,1795-02-12 11:41:29.000,,t,ob,TRUE,FALSE,
1,1795-02-12 11:41:32.000,,S,hr,TRUE,FALSE,
1,1795-02-12 11:42:21.500,,t,hr,TRUE,FALSE,
1,1795-02-12 11:43:11.000,,t,ob,TRUE,FALSE,
1,1795-02-12 11:43:45.000,,S,hr,TRUE,FALSE,
2,1795-03-03 12:28:00.000,,S,hr,FALSE,FALSE,N
2,1795-03-03 12:28:44.000,,t,ob,FALSE,FALSE,N
2,1795-03-03 12:29:37.000,,t,hr,FALSE,FALSE,N
2,1795-03-03 12:30:11.000,,S,hr,FALSE,FALSE,N
2,1795-03-03 12:30:32.000,,t,ob,FALSE,FALSE,N
3,1795-03-03 12:32:03.000,,S,hr,FALSE,FALSE,N
3,1795-03-03 12:32:46.000,,t,ob,FALSE,FALSE,N
3,1795-03-03 12:33:39.000,,t,hr,FALSE,FALSE,N
3,1795-03-03 12:34:13.000,,S,hr,FALSE,FALSE,N
3,1795-03-03 12:34:34.000,,t,ob,FALSE,FALSE,N
4,1795-03-03 12:35:58.500,,S,hr,FALSE,FALSE,S
4,1795-03-03 12:37:16.000,1795-03-03 12:36:16.000,t,ob,FALSE,FALSE,S
4,1795-03-03 12:37:34.000,,t,hr,FALSE,FALSE,S
4,1795-03-03 12:38:09.000,,S,hr,FALSE,FALSE,S
4,1795-03-03 12:38:49.000,,t,ob,FALSE,FALSE,S
5,1795-03-03 12:40:47.000,,S,hr,FALSE,FALSE,S
5,1795-03-03 12:42:04.000,1795-03-03 12:41:04.000,t,ob,FALSE,FALSE,S
5,1795-03-03 12:42:23.000,,t,hr,FALSE,FALSE,S
5,1795-03-03 12:42:37.500,1795-03-03 12:42:57.500,S,hr,FALSE,FALSE,S
5,1795-03-03 12:43:37.000,,t,ob,FALSE,FALSE,S
8,1795-03-04 12:39:58.000,,S,h,FALSE,FALSE,N
8,1795-03-04 12:40:22.500,,t_grande,ob,FALSE,FALSE,N
8,1795-03-04 12:40:46.000,,t_petite,ob,FALSE,FALSE,N
8,1795-03-04 12:41:21.000,,t_grande,hr,FALSE,FALSE,N
8,1795-03-04 12:41:31.000,,t_petite,hr,FALSE,FALSE,N
8,1795-03-04 12:42:09.000,,S,hr,FALSE,FALSE,N
8,1795-03-04 12:42:18.000,,t_petite,ob,FALSE,FALSE,N
8,1795-03-04 12:42:22.000,,t_grande,ob,FALSE,FALSE,N
9,1795-03-04 12:44:33.000,,S,hr,FALSE,FALSE,N
9,1795-03-04 12:44:58.000,,t_grande,ob,FALSE,FALSE,N
9,1795-03-04 12:45:23.000,,t_petite,ob,FALSE,FALSE,N
9,1795-03-04 12:45:56.000,,t_grande,hr,FALSE,FALSE,N
9,1795-03-04 12:46:06.500,,t_petite,hr,FALSE,FALSE,N
9,1795-03-04 12:46:43.000,,S,hr,FALSE,FALSE,N
9,1795-03-04 12:46:49.000,,t_petite,ob,FALSE,FALSE,N
9,1795-03-04 12:46:54.000,,t_grande,ob,FALSE,FALSE,N
10,1795-03-04 12:49:21.000,,S,hr,FALSE,FALSE,N
10,1795-03-04 12:49:46.000,,t_grande,ob,FALSE,FALSE,N
10,1795-03-04 12:50:10.000,,t_petite,ob,FALSE,FALSE,N
10,1795-03-04 12:50:44.000,,t_grande,hr,FALSE,FALSE,N
10,1795-03-04 12:50:54.000,,t_petite,hr,FALSE,FALSE,N
10,1795-03-04 12:51:31.000,,S,hr,FALSE,FALSE,N
10,1795-03-04 12:51:39.000,,t_petite,ob,FALSE,FALSE,N
10,1795-03-04 12:51:44.000,,t_grande,ob,FALSE,FALSE,N
11,1795-03-04 12:55:34.000,,S,hr,FALSE,FALSE,N
11,1795-03-04 12:56:00.000,,t_grande,ob,FALSE,FALSE,N
11,1795-03-04 12:56:24.000,,t_petite,ob,FALSE,FALSE,N
11,1795-03-04 12:56:57.000,,t_grande,hr,FALSE,FALSE,N
11,1795-03-04 12:57:07.000,,t_petite,hr,FALSE,FALSE,N
11,1795-03-04 12:57:45.000,,S,hr,FALSE,FALSE,N
11,1795-03-04 12:57:51.000,,t_petite,ob,FALSE,FALSE,N
11,1795-03-04 12:57:55.000,,t_grande,ob,FALSE,FALSE,N
6,1795-03-04 01:01:58.500,,S,hr,FALSE,FALSE,S
6,1795-03-04 01:02:07.000,,t_grande,ob,FALSE,FALSE,S
6,1795-03-04 01:02:21.000,1795-03-04 01:03:21.000,t_grande,hr,FALSE,FALSE,S
6,1795-03-04 01:03:09.000,1795-03-04 01:04:09.000,S,hr,FALSE,FALSE,S
6,1795-03-04 01:04:30.000,,t_grande,ob,FALSE,FALSE,S
7,1795-03-04 01:06:12.000,,S,hr,FALSE,FALSE,S
7,1795-03-04 01:06:22.000,,t_grande,ob,FALSE,FALSE,S
7,1795-03-04 01:07:35.000,,t_grande,hr,FALSE,FALSE,S
7,1795-03-04 01:07:22.500,1795-03-04 01:08:22.500,S,hr,FALSE,FALSE,S
7,1795-03-04 01:08:44.000,,t_grande,ob,FALSE,FALSE,S
12,1795-03-05 12:26:51.000,,S,hr,FALSE,FALSE,N
12,1795-03-05 12:26:57.000,,t,ob,FALSE,FALSE,N
12,1795-03-05 12:28:00.000,,t,hr,FALSE,FALSE,N
12,1795-03-05 12:29:01.000,,S,hr,FALSE,FALSE,N
12,1795-03-05 12:29:02.000,,t,ob,FALSE,FALSE,N
13,1795-03-05 12:30:34.000,,S,hr,FALSE,FALSE,N
13,1795-03-05 12:30:40.000,,t,ob,FALSE,FALSE,N
13,1795-03-05 12:31:43.000,,t,hr,FALSE,FALSE,N
13,1795-03-05 12:32:45.000,,S,hr,FALSE,FALSE,N
13,1795-03-05 12:32:48.000,,t,ob,FALSE,FALSE,N
14,1795-03-05 12:35:06.000,,S,hr,FALSE,FALSE,N
14,1795-03-05 12:35:12.500,,t,ob,FALSE,FALSE,N
14,1795-03-05 12:36:15.000,,t,hr,FALSE,FALSE,N
14,1795-03-05 12:37:16.000,,S,hr,FALSE,FALSE,N
14,1795-03-05 12:37:19.000,,t,ob,FALSE,FALSE,N
15,1795-03-05 12:39:38.000,,S,hr,FALSE,FALSE,S
15,1795-03-05 12:39:39.000,,t,ob,FALSE,FALSE,S
