obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
173,1813-02-03 00:01:01.000,,S,in,FALSE,TRUE,N
173,1813-02-03 00:02:41.000,,t,in,FALSE,TRUE,N
173,1813-02-03 00:04:29.000,,t,out,FALSE,TRUE,N
173,1813-02-03 00:04:48.500,,S,out,FALSE,TRUE,N
174,1813-02-03 23:49:37.000,,S,in,TRUE,TRUE,N
174,1813-02-03 23:51:20.000,,t,in,TRUE,TRUE,N
174,1813-02-03 23:53:06.000,,t,out,TRUE,TRUE,N
174,1813-02-03 23:53:24.000,,S,out,TRUE,TRUE,N
175,1813-02-03 23:55:18.000,,S,in,TRUE,TRUE,N
175,1813-02-03 23:57:00.000,,t,in,TRUE,TRUE,N
175,1813-02-03 23:58:46.000,,t,out,TRUE,TRUE,N
175,1813-02-03 23:59:05.000,,S,out,TRUE,TRUE,N
176,1813-02-04 23:26:16.500,,S,in,TRUE,TRUE,N
176,1813-02-04 23:27:46.000,,t,in,TRUE,TRUE,N
176,1813-02-04 23:29:32.000,,t,out,TRUE,TRUE,N
176,1813-02-04 23:30:04.000,,S,out,TRUE,TRUE,N
177,1813-02-04 23:32:39.000,,S,in,TRUE,TRUE,N
177,1813-02-04 23:34:09.500,,t,in,TRUE,TRUE,N
177,1813-02-04 23:35:54.500,,t,out,TRUE,TRUE,N
177,1813-02-04 23:36:26.500,,S,out,TRUE,TRUE,N
178,1813-02-04 23:40:00.500,,S,in,TRUE,TRUE,N
178,1813-02-04 23:41:30.500,,t,in,TRUE,TRUE,N
178,1813-02-04 23:43:15.000,,t,out,TRUE,TRUE,N
178,1813-02-04 23:43:46.500,,S,out,TRUE,TRUE,N
179,1813-02-04 23:45:28.500,,S,in,TRUE,TRUE,N
179,1813-02-04 23:46:57.000,,t,in,TRUE,TRUE,N
179,1813-02-04 23:48:43.500,,t,out,TRUE,TRUE,N
179,1813-02-04 23:49:14.500,,S,out,TRUE,TRUE,N
180,1813-02-04 23:51:31.500,,S,in,TRUE,TRUE,N
180,1813-02-04 23:53:01.500,,t,in,TRUE,TRUE,N
180,1813-02-04 23:54:46.500,,t,out,TRUE,TRUE,N
180,1813-02-04 23:55:18.500,,S,out,TRUE,TRUE,N
181,1813-02-04 00:01:01.500,,t,out,FALSE,TRUE,N
181,1813-02-04 00:01:33.000,,S,out,FALSE,TRUE,N
181,1813-02-04 23:57:47.000,,S,in,TRUE,TRUE,N
181,1813-02-04 23:59:17.000,,t,in,TRUE,TRUE,N
182,1813-02-05 23:16:48.500,,S,in,TRUE,TRUE,N
182,1813-02-05 23:18:07.000,,t,in,TRUE,TRUE,N
182,1813-02-05 23:19:48.000,,t,out,TRUE,TRUE,N
182,1813-02-05 23:20:35.000,,S,out,TRUE,TRUE,N
183,1813-02-05 23:21:56.500,,S,in,TRUE,TRUE,N
183,1813-02-05 23:23:14.500,,t,in,TRUE,TRUE,N
183,1813-02-05 23:24:56.000,,t,out,TRUE,TRUE,N
183,1813-02-05 23:25:42.250,,S,out,TRUE,TRUE,N
184,1813-02-05 23:28:08.750,,S,in,TRUE,TRUE,N
184,1813-02-05 23:29:27.000,,t,in,TRUE,TRUE,N
184,1813-02-05 23:31:08.500,,t,out,TRUE,TRUE,N
184,1813-02-05 23:31:55.500,,S,out,TRUE,TRUE,N
185,1813-02-05 23:34:15.250,,S,in,TRUE,TRUE,N
185,1813-02-05 23:35:33.000,,t,in,TRUE,TRUE,N
185,1813-02-05 23:37:16.500,,t,out,TRUE,TRUE,N
185,1813-02-05 23:38:03.750,,S,out,TRUE,TRUE,N
186,1813-02-05 23:40:29.000,,S,in,TRUE,TRUE,N
186,1813-02-05 23:41:46.000,,t,in,TRUE,TRUE,N
186,1813-02-05 23:43:27.500,,t,out,TRUE,TRUE,N
186,1813-02-05 23:44:14.250,,S,out,TRUE,TRUE,N
187,1813-02-05 23:46:42.500,,S,in,TRUE,TRUE,N
187,1813-02-05 23:48:00.000,,t,in,TRUE,TRUE,N
187,1813-02-05 23:49:42.000,,t,out,TRUE,TRUE,N
187,1813-02-05 23:50:29.000,,S,out,TRUE,TRUE,N
188,1813-02-06 00:12:43.000,,S,in,FALSE,TRUE,N
188,1813-02-06 00:13:47.000,,t,in,FALSE,TRUE,N
188,1813-02-06 00:15:25.000,,t,out,FALSE,TRUE,N
188,1813-02-06 00:16:28.000,,S,out,FALSE,TRUE,N
189,1813-02-06 00:17:28.000,,S,in,FALSE,TRUE,N
189,1813-02-06 00:18:31.500,,t,in,FALSE,TRUE,N
189,1813-02-06 00:20:11.000,,t,out,FALSE,TRUE,N
189,1813-02-06 00:21:13.500,,S,out,FALSE,TRUE,N
190,1813-02-06 00:22:19.000,,S,in,FALSE,TRUE,N
190,1813-02-06 00:23:22.500,,t,in,FALSE,TRUE,N
190,1813-02-06 00:25:01.000,,t,out,FALSE,TRUE,N
190,1813-02-06 00:26:04.500,,S,out,FALSE,TRUE,N
191,1813-02-06 00:27:17.500,,S,in,FALSE,TRUE,N
191,1813-02-06 00:28:21.000,,t,in,FALSE,TRUE,N
191,1813-02-06 00:30:00.000,,t,out,FALSE,TRUE,N
191,1813-02-06 00:31:03.000,,S,out,FALSE,TRUE,N
192,1813-02-06 00:31:48.000,,S,in,FALSE,TRUE,N
192,1813-02-06 00:32:51.000,,t,in,FALSE,TRUE,N
192,1813-02-06 00:34:30.000,,t,out,FALSE,TRUE,N
192,1813-02-06 00:35:33.500,,S,out,FALSE,TRUE,N
193,1813-02-06 00:36:34.000,,S,in,FALSE,TRUE,N
193,1813-02-06 00:37:37.500,,t,in,FALSE,TRUE,N
193,1813-02-06 00:39:16.000,,t,out,FALSE,TRUE,N
193,1813-02-06 00:40:19.250,,S,out,FALSE,TRUE,N
194,1813-02-08 22:57:17.500,,S,in,TRUE,TRUE,N
194,1813-02-08 22:57:57.000,,t,in,TRUE,TRUE,N
194,1813-02-08 22:59:26.000,,t,out,TRUE,TRUE,N
194,1813-02-08 23:01:01.500,,S,out,TRUE,TRUE,N
195,1813-02-08 23:01:55.000,,S,in,TRUE,TRUE,N
195,1813-02-08 23:02:35.000,,t,in,TRUE,TRUE,N
195,1813-02-08 23:04:05.000,,t,out,TRUE,TRUE,N
195,1813-02-08 23:05:40.500,,S,out,TRUE,TRUE,N
196,1813-02-08 23:06:53.000,,S,in,TRUE,TRUE,N
196,1813-02-08 23:07:34.000,,t,in,TRUE,TRUE,N
196,1813-02-08 23:09:04.000,,t,out,TRUE,TRUE,N
196,1813-02-08 23:10:40.000,,S,out,TRUE,TRUE,N
197,1813-02-08 23:11:21.000,,S,in,TRUE,TRUE,N
197,1813-02-08 23:12:00.000,,t,in,TRUE,TRUE,N
197,1813-02-08 23:13:30.000,,t,out,TRUE,TRUE,N
197,1813-02-08 23:15:06.000,,S,out,TRUE,TRUE,N
198,1813-02-08 23:15:51.500,,S,in,TRUE,TRUE,N
198,1813-02-08 23:16:31.000,,t,in,TRUE,TRUE,N
198,1813-02-08 23:18:01.000,,t,out,TRUE,TRUE,N
198,1813-02-08 23:19:36.500,,S,out,TRUE,TRUE,N
199,1813-02-08 23:20:30.500,,S,in,TRUE,TRUE,N
199,1813-02-08 23:21:11.000,,t,in,TRUE,TRUE,N
199,1813-02-08 23:22:40.000,,t,out,TRUE,TRUE,N
199,1813-02-08 23:24:16.000,,S,out,TRUE,TRUE,N
200,1813-04-04 01:57:56.000,,S,in,FALSE,TRUE,N
200,1813-04-04 01:59:15.000,,t,in,FALSE,TRUE,N
200,1813-04-04 02:01:18.000,,t,out,FALSE,TRUE,N
200,1813-04-04 02:01:33.000,,S,out,FALSE,TRUE,N
201,1813-04-04 02:02:14.000,,S,in,FALSE,TRUE,N
201,1813-04-04 02:03:34.000,,t,in,FALSE,TRUE,N
201,1813-04-04 02:05:35.000,,t,out,FALSE,TRUE,N
201,1813-04-04 02:05:50.000,,S,out,FALSE,TRUE,N
202,1813-04-04 02:07:45.500,,S,in,FALSE,TRUE,N
202,1813-04-04 02:09:04.000,,t,in,FALSE,TRUE,N
202,1813-04-04 02:11:06.000,,t,out,FALSE,TRUE,N
202,1813-04-04 02:11:21.000,,S,out,FALSE,TRUE,N
203,1813-04-04 02:12:11.500,,S,in,FALSE,TRUE,N
203,1813-04-04 02:13:30.000,,t,in,FALSE,TRUE,N
203,1813-04-04 02:15:35.000,,t,out,FALSE,TRUE,N
203,1813-04-04 02:15:49.500,,S,out,FALSE,TRUE,N
204,1813-04-05 04:11:50.500,,S,in,FALSE,TRUE,N
204,1813-04-05 04:13:04.000,,t,in,FALSE,TRUE,N
204,1813-04-05 04:15:03.000,,t,out,FALSE,TRUE,N
204,1813-04-05 04:15:27.000,,S,out,FALSE,TRUE,N
205,1813-04-05 04:16:24.500,,S,in,FALSE,TRUE,N
205,1813-04-05 04:17:38.000,,t,in,FALSE,TRUE,N
205,1813-04-05 04:19:37.500,,t,out,FALSE,TRUE,N
205,1813-04-05 04:20:02.000,,S,out,FALSE,TRUE,N
206,1813-04-05 04:20:57.500,,S,in,FALSE,TRUE,N
206,1813-04-05 04:22:10.500,,t,in,FALSE,TRUE,N
206,1813-04-05 04:24:10.500,,t,out,FALSE,TRUE,N
206,1813-04-05 04:24:35.500,,S,out,FALSE,TRUE,N
207,1813-04-05 04:34:45.500,,S,in,FALSE,TRUE,N
207,1813-04-05 04:35:59.000,,t,in,FALSE,TRUE,N
207,1813-04-05 04:37:57.500,,t,out,FALSE,TRUE,N
207,1813-04-05 04:38:22.500,,S,out,FALSE,TRUE,N
208,1813-04-06 02:43:34.000,,S,in,FALSE,TRUE,N
208,1813-04-06 02:44:40.500,,t,in,FALSE,TRUE,N
208,1813-04-06 02:46:38.000,,t,out,FALSE,TRUE,N
208,1813-04-06 02:47:11.500,,S,out,FALSE,TRUE,N
209,1813-04-06 02:52:33.000,,S,in,FALSE,TRUE,N
209,1813-04-06 02:53:39.000,,t,in,FALSE,TRUE,N
209,1813-04-06 02:55:35.500,,t,out,FALSE,TRUE,N
209,1813-04-06 02:56:10.500,,S,out,FALSE,TRUE,N
210,1813-04-06 03:02:09.000,,S,in,FALSE,TRUE,N
210,1813-04-06 03:03:15.000,,t,in,FALSE,TRUE,N
210,1813-04-06 03:05:11.000,,t,out,FALSE,TRUE,N
210,1813-04-06 03:06:46.500,1813-04-06 03:05:46.500,S,out,FALSE,TRUE,N
211,1813-04-07 02:50:03.000,,S,in,FALSE,TRUE,N
211,1813-04-07 02:51:01.000,,t,in,FALSE,TRUE,N
211,1813-04-07 02:52:55.000,,t,out,FALSE,TRUE,N
211,1813-04-07 02:53:42.000,,S,out,FALSE,TRUE,N
212,1813-04-07 02:59:30.000,,S,in,FALSE,TRUE,N
212,1813-04-07 03:00:28.000,,t,in,FALSE,TRUE,N
212,1813-04-07 03:02:19.500,,t,out,FALSE,TRUE,N
212,1813-04-07 03:03:07.000,,S,out,FALSE,TRUE,N
213,1813-04-07 03:14:05.000,,S,in,FALSE,TRUE,N
