obs_id,recorded_time,modified_time,object,event
525,1795-03-07 12:36:11.000,1795-03-08 12:36:11.000,S,m
525,1795-03-07 12:36:41.000,1795-03-08 12:36:41.000,t,m
525,1795-03-07 12:38:20.000,1795-03-08 12:38:20.000,S,m
526,1798-12-22 11:43:11.500,,S,m
526,1798-12-22 11:43:51.000,,t,m
526,1798-12-22 11:45:35.500,,S,m
527,1799-02-21 00:06:14.000,,S,m
527,1799-02-21 00:08:06.500,,t_1,m
527,1799-02-21 00:08:15.000,,t_2,m
527,1799-02-21 00:08:27.500,,S,m
528,1799-02-22 00:06:04.500,,S,m
528,1799-02-22 00:07:46.000,,t_1,m
528,1799-02-22 00:07:55.000,,t_2,m
528,1799-02-22 00:08:17.500,,S,m
529,1799-02-23 00:05:55.500,,S,m
529,1799-02-23 00:07:22.000,,t_1,m
529,1799-02-23 00:07:35.000,,t_2,m
529,1799-02-23 00:08:08.500,,S,m
530,1799-02-25 00:05:34.000,,S,m
530,1799-02-25 00:06:34.500,,t_1,m
530,1799-02-25 00:06:47.000,,t_2,m
530,1799-02-25 00:07:46.500,,S,m
531,1799-02-26 00:05:21.750,,S,m
531,1799-02-26 00:06:08.000,,t_1,m
531,1799-02-26 00:06:21.000,,t_2,m
531,1799-02-26 00:07:34.000,,S,m
532,1799-02-27 00:05:08.500,,S,m
532,1799-02-27 00:05:42.000,,t_1,m
532,1799-02-27 00:05:54.000,,t_2,m
532,1799-02-27 00:07:20.500,,S,m
533,1799-02-28 00:04:55.000,,S,m
533,1799-02-28 00:05:16.500,,t_1,m
533,1799-02-28 00:05:27.000,,t_2,m
533,1799-02-28 00:07:07.500,,S,m
534,1799-03-04 00:03:56.500,,S,m
534,1799-03-04 00:05:50.000,,t_1,m
534,1799-03-04 00:05:56.000,,t_2,m
534,1799-03-04 00:06:08.000,,S,m
535,1799-03-05 00:03:41.500,,S,m
535,1799-03-05 00:05:25.000,,t_1,m
535,1799-03-05 00:05:32.000,,t_2,m
535,1799-03-05 00:05:52.500,,S,m
536,1799-03-07 00:03:11.000,,S,m
536,1799-03-07 00:04:30.000,,t_1,m
536,1799-03-07 00:04:40.000,,t_2,m
536,1799-03-07 00:05:21.500,,S,m
537,1799-03-08 00:02:55.500,,S,m
537,1799-03-08 00:04:02.000,,t_1,m
537,1799-03-08 00:04:13.000,,t_2,m
537,1799-03-08 00:05:07.000,,S,m
538,1799-03-05 00:02:39.500,,S,m
538,1799-03-05 00:03:34.000,,t_1,m
538,1799-03-05 00:04:50.000,,S,m
539,1800-12-03 11:45:22.250,,S,m
539,1800-12-03 11:46:39.000,,t_1,m
539,1800-12-03 11:47:21.000,,t_2,m
539,1800-12-03 11:47:40.000,,t_3,m
539,1800-12-03 11:47:45.000,,S,m
540,1800-12-04 11:45:46.750,,S,m
540,1800-12-04 11:46:49.000,,t_1,m
540,1800-12-04 11:47:33.000,,t_2,m
540,1800-12-04 11:48:00.000,,t_3,m
540,1800-12-04 11:48:05.000,,t_4,m
540,1800-12-04 11:48:09.500,,S,m
541,1800-12-07 11:46:59.500,,S,m
541,1800-12-07 11:47:24.000,,t_1,m
541,1800-12-07 11:47:59.000,,t_2,m
541,1800-12-07 11:48:46.000,,t_3,m
541,1800-12-07 11:48:55.000,,t_4,m
541,1800-12-07 11:49:23.000,,S,m
542,1800-12-08 11:47:25.250,,S,m
542,1800-12-08 11:48:09.000,,t_2,m
542,1800-12-08 11:48:58.000,,t_3,m
542,1800-12-08 11:49:09.000,,t_4,m
542,1800-12-08 11:49:48.000,,S,m
543,1801-01-24 00:11:08.000,,S,m
543,1801-01-24 00:11:41.000,,t_1,m
543,1801-01-24 00:11:51.000,,t_2,m
543,1801-01-24 00:13:27.500,,S,m
544,1801-01-25 00:11:22.500,,S,m
544,1801-01-25 00:11:45.000,,t_1,m
544,1801-01-25 00:11:54.000,,t_2,m
544,1801-01-25 00:13:42.000,,S,m
545,1801-09-26 11:51:39.500,,S,m
545,1801-09-26 11:52:16.000,,t,m
545,1801-09-26 11:53:48.000,,S,m
546,1801-09-27 11:51:21.000,,S,m
546,1801-09-27 11:51:51.000,,t,m
546,1801-09-27 11:53:30.000,,S,m
547,1801-09-28 11:51:01.000,,S,m
547,1801-09-28 11:51:27.000,,t,m
547,1801-09-28 11:53:12.000,,S,m
548,1801-10-14 11:46:55.250,,S,m
548,1801-10-14 11:48:24.000,,t,m
548,1801-10-14 11:49:06.500,,S,m
549,1801-10-15 11:46:46.500,,S,m
549,1801-10-15 11:48:03.000,,t,m
549,1801-10-15 11:48:57.750,,S,m
550,1801-10-17 11:46:25.500,,S,m
550,1801-10-17 11:48:22.000,,t,m
550,1801-10-17 11:48:37.500,,S,m
551,1801-10-18 11:46:18.000,,S,m
551,1801-10-18 11:48:06.500,,t,m
551,1801-10-18 11:49:30.000,1801-10-18 11:48:30.000,S,m
552,1801-10-19 11:46:09.500,,S,m
