obs_id,object,event,recorded_time,modified_time,rising
882,S,f1,1817-02-23 00:11:37.000,,FALSE
882,S,fm,1817-02-23 00:12:30.250,,FALSE
882,S,f3,1817-02-23 00:13:21.500,,FALSE
882,S,f1,1817-02-23 00:13:49.250,,FALSE
882,S,fm,1817-02-23 00:14:42.500,,FALSE
882,S,f3,1817-02-23 00:15:33.000,,FALSE
882,t1,?,1817-02-23 00:14:08.000,,FALSE
882,t2,?,1817-02-23 00:14:15.000,,FALSE
883,S,f1,1817-02-26 00:11:12.000,,FALSE
883,S,fm,1817-02-26 00:12:04.500,,FALSE
883,S,f3,1817-02-26 00:12:55.000,,FALSE
883,S,f1,1817-02-26 00:13:23.000,,FALSE
883,S,fm,1817-02-26 00:14:17.500,,FALSE
883,S,f3,1817-02-26 00:15:07.000,,FALSE
883,t,?,1817-02-26 00:13:49.500,,FALSE
884,S,f1,1817-03-01 00:10:40.250,,FALSE
884,S,fm,1817-03-01 00:11:33.250,,FALSE
884,S,f3,1817-03-01 00:12:24.000,,FALSE
884,S,f1,1817-03-01 00:12:52.250,,FALSE
884,S,fm,1817-03-01 00:13:44.750,,FALSE
884,S,f3,1817-03-01 00:14:34.500,,FALSE
884,t,f1,1817-03-01 00:11:52.500,,FALSE
884,t,fm,1817-03-01 00:12:45.500,,FALSE
884,t,f3,1817-03-01 00:13:35.500,,FALSE
885,S,f1,1817-03-02 00:10:26.500,,FALSE
885,S,fm,1817-03-02 00:11:20.750,,FALSE
885,S,f3,1817-03-02 00:12:10.500,,FALSE
885,S,f1,1817-03-02 00:12:38.000,,FALSE
885,S,fm,1817-03-02 00:13:32.250,,FALSE
885,S,f3,1817-03-02 00:14:21.250,,FALSE
885,t,f1,1817-03-02 00:11:27.000,,FALSE
885,t,fm,1817-03-02 00:12:20.000,,FALSE
885,t,f3,1817-03-02 00:13:09.000,,FALSE
886,S,f1,1819-10-10 23:41:33.500,,TRUE
886,S,fm,1819-10-10 23:42:01.000,,TRUE
886,S,f3,1819-10-10 23:42:31.000,,TRUE
886,S,f1,1819-10-10 23:43:43.000,,TRUE
886,S,fm,1819-10-10 23:44:11.250,,TRUE
886,S,f3,1819-10-10 23:44:42.000,,TRUE
886,t,?,1819-10-10 23:42:27.000,,TRUE
887,S,f1,1820-06-26 06:17:20.500,,TRUE
887,S,fm,1820-06-26 06:17:51.750,,TRUE
887,S,f3,1820-06-26 06:18:24.500,,TRUE
887,t,fm,1820-06-26 06:19:01.000,,TRUE
887,S,fm,1820-06-26 06:19:11.000,,TRUE
887,S,f3,1820-06-26 06:20:45.000,,TRUE
888,S,f1,1820-06-28 06:24:24.500,,TRUE
888,S,fm,1820-06-28 06:25:55.000,,TRUE
888,S,f3,1820-06-28 06:26:28.000,,TRUE
888,t,fm,1820-06-28 06:27:44.000,,TRUE
888,S,fm,1820-06-28 06:28:14.250,,TRUE
888,S,f3,1820-06-28 06:28:47.000,,TRUE
889,S,f1,1823-12-03 23:49:21.000,,TRUE
889,S,fm,1823-12-03 23:49:50.500,,TRUE
889,S,f3,1823-12-03 23:50:23.500,,TRUE
889,t,f1,1823-12-03 23:51:28.250,,TRUE
889,S,f1,1823-12-03 23:51:42.000,,TRUE
889,t,fm,1823-12-03 23:51:59.000,,TRUE
889,S,fm,1823-12-03 23:52:12.000,,TRUE
889,t,f3,1823-12-03 23:52:32.000,,TRUE
889,S,f3,1823-12-03 23:52:45.000,,TRUE
890,S,f1,1824-08-01 00:04:08.000,,FALSE
890,S,fm,1824-08-01 00:04:36.500,,FALSE
890,S,f3,1824-08-01 00:05:09.000,,FALSE
890,t,fm,1824-08-01 00:05:35.000,,FALSE
890,S,f1,1824-08-01 00:06:22.000,,FALSE
890,S,fm,1824-08-01 00:06:51.250,,FALSE
890,S,f3,1824-08-01 00:07:22.500,,FALSE
891,S,f1,1824-09-25 23:49:17.000,,TRUE
891,S,fm,1824-09-25 23:49:44.500,,TRUE
891,S,f3,1824-09-25 23:50:15.000,,TRUE
891,t,f1,1824-09-25 23:50:26.000,,TRUE
891,t,fm,1824-09-25 23:50:54.000,,TRUE
891,t,f3,1824-09-25 23:51:24.000,,TRUE
891,S,f1,1824-09-25 23:51:26.000,,TRUE
891,S,fm,1824-09-25 23:51:54.000,,TRUE
891,S,f3,1824-09-25 23:52:23.500,,TRUE
892,S,f1,1824-09-26 23:49:00.250,,TRUE
892,S,fm,1824-09-26 23:49:27.750,,TRUE
892,S,f3,1824-09-26 23:49:58.000,,TRUE
892,t,f1,1824-09-26 23:49:59.000,,TRUE
892,t,fm,1824-09-26 23:50:27.000,,TRUE
892,t,f3,1824-09-26 23:50:57.000,,TRUE
892,S,f1,1824-09-26 23:51:09.000,,TRUE
892,S,fm,1824-09-26 23:51:37.500,,TRUE
892,S,f3,1824-09-26 23:52:07.000,,TRUE
893,S,f1,1824-09-27 23:48:45.000,,TRUE
893,S,fm,1824-09-27 23:49:12.750,,TRUE
893,S,f3,1824-09-27 23:49:44.000,,TRUE
893,t,f1,1824-09-27 23:49:35.000,,TRUE
893,t,fm,1824-09-27 23:50:03.000,,TRUE
893,t,f3,1824-09-27 23:50:33.000,,TRUE
893,S,f1,1824-09-27 23:50:54.500,,TRUE
893,S,fm,1824-09-27 23:51:21.750,,TRUE
893,S,f3,1824-09-27 23:51:52.000,,TRUE
894,S,f1,1824-09-29 23:48:20.000,,TRUE
894,S,fm,1824-09-29 23:48:48.000,,TRUE
894,S,f3,1824-09-29 23:49:25.000,,TRUE
894,t,f1,1824-09-29 23:48:58.000,,TRUE
894,t,fm,1824-09-29 23:49:26.000,,TRUE
894,t,f3,1824-09-29 23:49:55.500,,TRUE
894,S,f1,1824-09-29 23:50:30.000,,TRUE
894,S,fm,1824-09-29 23:50:58.000,,TRUE
894,S,f3,1824-09-29 23:51:28.000,,TRUE
895,S,f1,1824-09-30 23:48:07.500,,TRUE
895,S,fm,1824-09-30 23:48:35.000,,TRUE
895,S,f3,1824-09-30 23:49:06.000,,TRUE
895,t,f1,1824-09-30 23:48:40.000,,TRUE
895,t,fm,1824-09-30 23:49:09.000,,TRUE
895,t,f3,1824-09-30 23:49:38.000,,TRUE
895,S,f1,1824-09-30 23:50:17.000,,TRUE
895,S,fm,1824-09-30 23:50:44.250,,TRUE
895,S,f3,1824-09-30 23:51:15.000,,TRUE
896,S,?,1827-12-08 00:05:42.000,,FALSE
896,t,f1,1827-12-08 00:06:18.500,,FALSE
896,t,fm,1827-12-08 00:06:47.750,,FALSE
896,t,f3,1827-12-08 00:07:21.000,,FALSE
896,S,?,1827-12-08 00:08:04.000,,FALSE
897,S,?,1827-12-09 00:06:20.000,,FALSE
897,t,f1,1827-12-09 00:06:40.500,,FALSE
897,S,f3,1827-12-09 00:06:53.000,,FALSE
897,t,fm,1827-12-09 00:07:09.000,,FALSE
897,t,f3,1827-12-09 00:07:44.000,,FALSE
897,S,fm,1827-12-09 00:08:42.250,,FALSE
897,S,f3,1827-12-09 00:09:16.000,,FALSE
